Player,3P,2P,PTS,Salary
Kawhi Leonard,2.1,7.4,27.2,32742000
Keita Bates-Diop,0.8,1.5,6.6,1416852
Keita Bates-Diop,0.8,1.5,6.8,1416852
Keita Bates-Diop,0.0,1.0,3.5,1416852
Keldon Johnson,0.0,0.5,1.0,1950600
Kelly Olynyk,1.3,1.3,7.5,11667885
Kelly Oubre,2.0,4.7,18.9,15625000
Kemba Walker,3.4,3.8,21.8,32742000
Kendrick Nunn,1.9,4.1,15.3,1416852
Kenrich Williams,0.7,0.7,3.8,1416852
Kent Bazemore,1.2,1.4,8.0,19269662
Kent Bazemore,1.3,1.3,7.9,19269662
Kent Bazemore,0.9,1.9,8.5,19269662
Kentavious Caldwell-Pope,1.4,2.0,9.5,8089282
Kevin Huerter,2.3,2.2,12.3,2636280
Kevin Knox,1.1,1.3,6.8,4380120
Kevin Love,2.6,3.4,17.7,28900000
Kevin Porter,1.0,2.7,9.8,1290960
Kevon Looney,0.1,1.1,2.9,4629630
Khem Birch,0.0,1.5,4.0,3000000
Khris Middleton,2.4,5.0,20.4,30603448
Khyri Thomas,0.0,0.0,0.5,838464
Kris Dunn,0.6,2.4,7.3,5348007
Kristaps Porziņģis,2.3,4.0,18.4,27285000
Ky Bowman,0.8,2.0,7.0,355264
Kyle Anderson,0.2,2.0,5.3,9073050
Kyle Korver,1.6,0.5,6.4,3440000
Kyle Korver,1.6,0.5,6.4,2564753
Kyle Kuzma,1.5,3.2,12.6,1974600
Kyle Lowry,2.9,3.1,19.6,33296296
Kyle O'Quinn,0.3,1.1,3.5,2028594
Kyrie Irving,2.8,7.2,27.4,31742000
LaMarcus Aldridge,1.2,6.3,19.1,26000000
Landry Shamet,2.5,1.0,10.6,1995120
Langston Galloway,2.0,1.5,10.1,7333333
Larry Nance,1.0,2.8,9.5,12727273
Lauri Markkanen,2.2,2.9,15.0,5300400
LeBron James,2.1,7.4,25.0,37436858
Lonnie Walker,0.5,1.7,5.7,2760480
Lonzo Ball,2.4,2.1,11.9,8719320
Lou Williams,1.8,4.6,19.5,8000000
Luka Dončić,2.9,6.6,28.9,7683360
Luke Kennard,2.6,2.8,15.8,3827160
Luke Kornet,0.9,1.4,6.0,2195122
Malcolm Brogdon,1.4,4.7,16.6,20000000
Malcolm Miller,0.2,0.1,0.9,1588231
Malik Beasley,1.6,1.6,8.9,2731714
Malik Beasley,1.4,1.4,7.9,2731714
Malik Beasley,4.7,3.3,22.0,2731714
Malik Monk,1.0,2.8,9.9,4028400
Malik Newman,0.0,0.0,2.0,555409
Marc Gasol,1.4,1.4,7.8,25595700
Marco Belinelli,1.0,0.9,5.4,5846154
Marcus Morris,2.6,3.8,19.0,15000000
Marcus Morris,2.7,3.8,19.6,15000000
Marcus Morris,1.7,3.0,11.0,15000000
Marcus Smart,2.3,1.9,12.5,12553471
Mario Hezonja,0.4,1.2,4.5,1737145
Markelle Fultz,0.5,4.4,11.9,9745200
Markieff Morris,1.7,2.3,11.0,3200000
Marko Guduric,0.6,1.0,4.5,2625000
Marques Bolden,0.0,0.0,0.0,50752
Marquese Chriss,0.2,3.1,8.7,758804
Marquese Chriss,0.2,3.1,8.7,654468
Marvin Bagley,0.3,5.7,14.2,8556120
Marvin Williams,1.1,1.2,6.8,15006250
Marvin Williams,1.1,1.2,6.8,956349
Marvin Williams,1.1,1.2,6.7,15006250
Marvin Williams,1.1,1.2,6.7,956349
Marvin Williams,1.0,2.0,9.0,15006250
Marvin Williams,1.0,2.0,9.0,956349
Mason Plumlee,0.0,3.0,7.4,14041096
Matisse Thybulle,1.0,0.7,4.9,2582160
Matt Thomas,1.1,0.5,4.5,898310
Matthew Dellavedova,0.2,0.7,2.6,9607500
Maurice Harkless,0.5,1.7,5.5,11511234
Maurice Harkless,0.5,1.7,5.5,11511234
Maurice Harkless,0.0,2.0,4.0,11511234
Max Strus,0.0,1.0,2.5,415414
Maxi Kleber,1.6,1.5,8.9,8000000
Melvin Frazier,0.3,0.1,1.3,1416852
Meyers Leonard,1.0,1.3,6.1,11286515
Mfiondu Kabengele,0.8,0.4,3.5,1977000
